Timestamp,Level,Type,Channel,Message
2025-11-01T21:08:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 233ms (avg 219 +/- 5)"
2025-11-01T21:18:09,ALERT,Other,,"Local LLM offline (0)"
2025-11-01T21:18:09,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 275ms (avg 227 +/- 5)"
2025-11-01T21:23:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 281ms (avg 232 +/- 16)"
2025-11-01T21:53:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 235ms (avg 221 +/- 7)"
2025-11-01T22:08:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 240ms (avg 222 +/- 7)"
2025-11-01T22:18:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 285ms (avg 275 +/- 4)"
2025-11-01T22:28:05,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 24ms (avg 19 +/- 2)"
2025-11-01T22:33:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 319ms (avg 273 +/- 7)"
2025-11-01T22:33:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 255ms (avg 227 +/- 7)"
2025-11-01T22:38:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 265ms (avg 231 +/- 11)"
2025-11-01T22:53:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 267ms (avg 231 +/- 17)"
2025-11-01T23:13:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 29ms (avg 20 +/- 2)"
2025-11-01T23:43:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 31ms (avg 22 +/- 4)"
2025-11-01T23:48:07,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 284ms (avg 241 +/- 10)"
2025-11-02T00:13:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 245ms (avg 219 +/- 5)"
2025-11-02T00:43:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 25ms (avg 20 +/- 1)"
2025-11-02T00:43:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 256ms (avg 224 +/- 10)"
2025-11-02T00:48:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 269ms (avg 242 +/- 9)"
2025-11-02T00:53:08,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 296ms (avg 245 +/- 12)"
2025-11-02T01:28:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 31ms (avg 20 +/- 2)"
2025-11-02T02:18:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 236ms (avg 222 +/- 4)"
2025-11-02T03:08:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 24ms (avg 21 +/- 1)"
2025-11-02T03:18:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 35ms (avg 21 +/- 1)"
2025-11-02T03:23:03,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 262ms (avg 229 +/- 4)"
2025-11-02T03:28:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 268ms (avg 232 +/- 11)"
2025-11-02T03:33:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 325ms (avg 235 +/- 16)"
2025-11-02T03:38:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 240ms (avg 225 +/- 7)"
2025-11-02T03:48:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 243ms (avg 227 +/- 7)"
2025-11-02T04:33:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 28ms (avg 22 +/- 1)"
2025-11-02T05:18:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 257ms (avg 224 +/- 4)"
2025-11-02T05:33:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 26ms (avg 22 +/- 1)"
2025-11-02T05:38:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 263ms (avg 227 +/- 11)"
2025-11-02T06:03:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 43ms (avg 23 +/- 2)"
2025-11-02T06:58:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 303ms (avg 276 +/- 7)"
2025-11-02T07:43:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 245ms (avg 226 +/- 7)"
2025-11-02T08:08:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 38ms (avg 22 +/- 2)"
2025-11-02T08:08:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 298ms (avg 265 +/- 16)"
2025-11-02T08:23:16,ALERT,Other,,"Local LLM offline (0)"
2025-11-02T09:13:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 257ms (avg 222 +/- 4)"
2025-11-02T09:28:07,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 26ms (avg 19 +/- 2)"
2025-11-02T09:28:07,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 331ms (avg 277 +/- 12)"
2025-11-02T10:28:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 24ms (avg 20 +/- 1)"
2025-11-02T11:03:05,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 25ms (avg 20 +/- 2)"
2025-11-02T11:08:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 31ms (avg 21 +/- 2)"
2025-11-02T11:23:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 305ms (avg 272 +/- 10)"
2025-11-02T12:13:05,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 40ms (avg 21 +/- 3)"
2025-11-02T12:28:05,WARN,Spike,Gateway,"SPIKE: Gateway latency 262ms (avg 222 +/- 3)"
2025-11-02T12:33:05,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 299ms (avg 258 +/- 18)"
2025-11-02T13:08:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 30ms (avg 22 +/- 2)"
2025-11-02T13:33:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 255ms (avg 224 +/- 5)"
2025-11-02T13:38:05,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 33ms (avg 22 +/- 3)"
